customer_id,customer_age,customer_gender,region
C16072,64,Male,South
C17178,37,Female,East
C11450,48,Female,East
C13586,41,Female,Central
C15665,53,Female,North
C16847,67,Male,West
C13315,36,Male,Central
C15123,59,Male,East
C14788,67,Male,West
C15115,32,Male,Central
C17885,36,Male,East
C12353,39,Male,South
C14291,68,Male,Central
C13469,39,Female,Central
C11297,36,Female,North
C13150,56,Male,Central
C13024,65,Female,Central
C15605,27,Male,West
C10412,55,Male,North
C15836,21,Male,North
C15325,18,Male,North
C13119,28,Female,South
C12534,58,Male,Central
C11740,63,Female,South
C13378,48,Female,East
C14156,35,Female,South
C17988,43,Female,North
C15466,65,Male,North
C14398,58,Male,West
C15623,48,Male,South
C16977,25,Female,West
C11121,45,Female,West
C14449,40,Male,Central
C12678,49,Male,Central
C16258,67,Female,West
C14961,61,Male,Central
C14043,34,Male,East
C14475,45,Male,South
C14110,59,Female,Central
C10199,62,Other,South
C17051,38,Male,South
C12308,61,Male,North
C14772,62,Male,East
C11372,55,Female,West
C10196,23,Male,East
C11366,34,Male,North
C16779,24,Female,South
C15792,60,Female,South
C13135,29,Female,South
C13858,27,Male,North
C16505,25,Female,South
C13316,36,Female,East
C10321,24,Female,Central
C17640,21,Male,West
C15209,50,Male,North
C10538,41,Male,South
C16737,43,Female,South
C16988,65,Male,South
C11650,27,Male,East
C14147,53,Male,South
C12650,31,Male,South
C14902,38,Male,East
C16002,36,Female,South
C17779,56,Male,West
C13755,67,Female,North
C16885,48,Female,West
C15601,64,Male,South
C17109,51,Male,West
C14622,22,Female,East
C10736,35,Female,Central
C17808,27,Female,South
C17893,60,Male,East
C17217,38,Female,South
C15225,22,Female,North
C10970,25,Male,West
C14203,61,Female,West
C11034,58,Female,East
C16517,61,Male,South
C15763,26,Male,East
C10720,63,Male,North
C13931,42,Male,West
C12955,29,Female,South
C12629,20,Male,Central
C11313,18,Female,East
C13128,22,Female,North
C13660,54,Female,North
C12943,63,Female,North
C15438,55,Male,South
C10167,19,Male,South
C10629,29,Other,North
C15071,58,Male,Central
C12877,48,Male,South
C15574,60,Female,Central
C15663,20,Male,Central
C11467,25,Male,East
C13813,25,Female,South
C15460,55,Male,East
C12874,37,Female,East
C15013,30,Female,South
C13635,63,Male,South
C13662,44,Male,East
C11350,43,Female,East
C12253,68,Female,South
C12710,68,Female,Central
C14972,49,Female,East
C17302,43,Female,West
C16797,20,Male,North
C15357,69,Other,East
C13615,46,Female,South
C10468,62,Female,North
C17628,31,Female,East
C17049,59,Female,Central
C10586,56,Female,West
C16612,36,Female,East
C17212,69,Male,West
C17293,58,Male,East
C13013,67,Female,North
C14296,48,Female,Central
C11470,62,Female,South
C10099,41,Male,West
C10257,21,Other,North
C12069,46,Male,West
C12776,69,Female,South
C15337,19,Male,Central
C15285,31,Male,North
C17809,31,Female,Central
C15502,24,Male,West
C16810,28,Male,East
C16684,48,Female,North
C17877,35,Male,East
C15937,44,Female,North
C16421,55,Male,East
C12464,24,Female,Central
C13812,20,Female,South
C13375,53,Female,West
C11784,45,Male,South
C16529,65,Female,East
C10004,22,Female,West
C14322,31,Other,South
C14338,32,Other,East
C10144,53,Female,East
C15676,62,Female,South
C16326,31,Female,West
C17375,59,Male,West
C13355,69,Female,East
C11520,50,Male,East
C12715,60,Female,West
C10172,35,Female,North
C11728,25,Male,East
C10705,44,Male,North
C14783,48,Male,South
C10132,37,Female,South
C11769,46,Male,South
C13172,51,Female,South
C14332,30,Female,Central
C15957,18,Female,West
C14731,62,Female,Central
C16319,26,Male,North
C15900,60,Female,North
C13991,41,Male,West
C14417,45,Female,South
C15160,48,Female,East
C16706,56,Male,East
C17712,56,Female,Central
C14176,48,Female,South
C16076,57,Female,North
C14024,28,Female,West
C12684,48,Male,North
C17682,22,Female,North
C16211,64,Male,West
C16740,24,Female,North
C14580,18,Female,Central
C17284,51,Female,South
C15004,60,Male,South
C12516,58,Female,South
C14884,31,Female,West
C10700,67,Male,South
C17303,29,Male,North
C16527,26,Female,East
C11343,60,Male,West
C12522,39,Female,East
C14292,25,Male,West
C16466,38,Male,Central
C11323,61,Male,West
C17503,54,Male,South
C15459,49,Female,North
C16027,25,Female,Central
C13599,40,Male,North
C17605,21,Male,North
C15538,27,Male,West
C11743,47,Male,South
C17104,41,Female,North
C13047,20,Female,North
C11954,19,Male,West
C10940,22,Female,East
C17488,38,Female,East
C12518,47,Male,Central
C16465,35,Male,South
C17201,40,Female,North
C17481,52,Female,Central
C14170,61,Other,South
C11339,66,Male,South
C16826,52,Female,South
C15518,31,Male,Central
C15264,53,Male,Central
C16877,68,Female,West
C10046,42,Female,North
C11142,47,Male,West
C12695,46,Female,Central
C15100,62,Male,Central
C12609,21,Male,North
C13612,67,Female,North
C11414,55,Female,South
C14269,18,Male,North
C12898,63,Male,South
C17949,38,Female,Central
C10957,29,Female,East
C14627,48,Female,North
C13842,38,Male,North
C13332,21,Male,East
C15746,39,Other,South
C14986,65,Male,North
C10450,19,Male,North
C14038,66,Male,West
C12820,19,Female,North
C15826,44,Male,Central
C16473,19,Female,West
C14248,42,Male,Central
C17627,67,Male,Central
C17588,32,Male,South
C13224,40,Female,West
C15313,19,Male,West
C11383,44,Female,South
C12362,66,Other,Central
C12890,64,Female,South
C10093,40,Female,Central
C17955,47,Female,North
C12508,51,Female,South
C11765,57,Female,West
C14771,66,Female,South
C10278,36,Female,East
C16520,53,Female,East
C10856,63,Female,West
C14903,53,Female,South
C14502,43,Male,West
C11586,33,Male,North
C17801,45,Male,Central
C13702,30,Female,North
C12174,42,Male,North
C17590,66,Male,West
C12936,35,Female,East
C16482,40,Male,North
C17088,53,Male,Central
C10168,62,Male,North
C17138,26,Female,East
C16951,56,Female,South
C14520,67,Female,East
C10127,58,Male,South
C16894,28,Male,North
C15579,60,Female,West
C16110,64,Male,North
C17139,29,Male,South
C17107,43,Female,North
C11020,37,Male,East
C15332,20,Male,West
C14465,22,Male,South
C16568,44,Female,West
C11484,29,Male,East
C11393,65,Male,West
C10059,66,Female,East
C17301,34,Male,South
C15478,25,Female,South
C16179,57,Male,South
C11509,28,Male,South
C16333,45,Male,Central
C12532,64,Male,North
C14328,54,Male,Central
C13979,28,Male,West
C15841,45,Female,North
C14738,34,Female,East
C10476,25,Male,North
C10824,62,Female,South
C10336,24,Male,East
C13725,61,Female,South
C12785,20,Female,East
C16134,61,Female,West
C10967,46,Female,North
C12213,29,Female,West
C16246,42,Female,South
C12094,64,Male,South
C17249,43,Male,Central
C12084,62,Male,South
C13064,30,Male,Central
C17834,65,Female,East
C16062,25,Male,West
C11632,53,Female,West
C14501,27,Female,Central
C12954,28,Female,Central
C14640,29,Male,West
C13968,48,Male,Central
C13921,25,Male,North
C13115,37,Male,East
C10206,68,Male,East
C17577,64,Female,East
C16206,48,Female,East
C14436,61,Female,South
C12554,61,Female,East
C11562,36,Male,West
C15748,65,Male,Central
C16213,56,Male,West
C10501,39,Female,Central
C15331,44,Male,West
C14410,41,Female,South
C10907,37,Female,South
C14169,41,Female,North
C10363,65,Male,South
C11644,46,Female,South
C17539,29,Female,South
C11173,23,Male,East
C11898,39,Female,South
C12856,58,Male,East
C16070,23,Female,Central
C11411,18,Female,East
C11321,22,Male,North
C12769,43,Male,North
C13793,33,Male,South
C11219,67,Male,South
C15348,62,Male,East
C16778,63,Male,South
C11266,35,Female,South
C16004,47,Male,East
C17613,56,Female,East
C10814,28,Female,Central
C17448,62,Female,South
C15551,57,Female,West
C10428,57,Female,South
C10799,63,Female,Central
C12023,29,Female,East
C14128,43,Male,West
C16237,53,Male,North
C11514,20,Female,West
C13366,51,Male,Central
C10573,44,Male,East
C15993,35,Other,North
C17635,34,Female,West
C16013,22,Female,South
C16133,54,Female,South
C14827,43,Male,West
C17460,59,Female,North
C11153,28,Male,East
C15267,26,Female,Central
C17403,61,Female,East
C15843,60,Female,South
C13849,24,Male,West
C15899,66,Male,Central
C14085,57,Male,South
C10936,40,Female,Central
C12442,68,Female,West
C13840,53,Male,North
C17291,42,Female,South
C14532,36,Female,Central
C15915,24,Female,East
C10839,54,Male,South
C17713,54,Male,North
C17063,58,Male,North
C15440,18,Female,Central
C13335,26,Female,South
C10710,60,Male,East
C10410,61,Male,South
C11412,51,Female,West
C13727,44,Other,South
C13070,65,Male,North
C14730,61,Male,North
C16532,40,Male,South
C13485,56,Male,East
C16399,62,Male,East
C17726,32,Male,South
C11022,35,Female,East
C17645,43,Female,East
C17335,43,Male,East
C15780,28,Female,South
C12997,29,Female,North
C16954,29,Female,East
C14861,39,Male,South
C13394,57,Female,East
C12751,57,Male,North
C10162,18,Female,West
C12801,45,Female,South
C15722,61,Female,North
C16147,68,Female,East
C10521,69,Male,Central
C16455,55,Male,Central
C14002,63,Female,South
C16902,40,Male,South
C10087,62,Other,North
C12760,20,Female,East
C11815,58,Other,West
C12236,21,Female,East
C14608,64,Male,West
C13386,21,Female,Central
C12641,27,Male,Central
C14960,67,Female,Central
C11729,47,Female,South
C14320,41,Female,South
C17364,54,Male,East
C12303,29,Female,North
C14949,27,Male,East
C15040,46,Male,South
C10394,66,Female,West
C17812,30,Male,North
C11443,60,Male,West
C16328,58,Female,East
C17424,35,Female,South
C12794,58,Female,Central
C16727,65,Female,Central
C17800,38,Female,South
C11023,29,Female,East
C17563,54,Male,South
C15598,31,Female,North
C13893,55,Male,Central
C15035,30,Male,South
C14098,52,Female,North
C11707,25,Male,South
C11227,57,Female,East
C10735,62,Female,North
C14734,53,Male,North
C10382,33,Male,East
C11547,43,Male,West
C10587,69,Female,East
C12456,25,Male,South
C15994,29,Male,North
C13352,18,Male,East
C16689,33,Male,Central
C12828,64,Other,North
C17458,56,Female,Central
C12108,39,Male,East
C14596,47,Female,West
C14351,20,Male,Central
C12588,60,Female,North
C16906,43,Female,West
C13091,27,Female,North
C16594,29,Male,East
C15751,24,Female,West
C14809,65,Female,South
C12167,56,Female,South
C17116,68,Female,East
C10198,36,Female,South
C12496,50,Female,East
C11957,32,Female,East
C12070,59,Female,North
C11566,51,Female,Central
C15224,68,Male,West
C13452,62,Male,North
C16435,49,Male,East
C15844,36,Female,Central
C16419,67,Female,South
C14101,52,Male,West
C13023,52,Male,East
C10077,35,Female,East
C14786,25,Male,East
C10960,28,Female,East
C13518,56,Male,South
C17085,41,Male,East
C12439,22,Male,West
C14618,53,Female,West
C12380,66,Male,South
C16650,50,Female,East
C16753,19,Female,South
C15808,41,Male,North
C11899,53,Female,North
C15909,27,Male,West
C17355,55,Female,East
C17665,37,Female,South
C13768,62,Female,South
C10727,40,Male,East
C12643,30,Female,Central
C11349,44,Female,East
C15304,58,Male,South
C14235,23,Male,East
C12622,25,Male,Central
C15879,64,Female,West
C15118,64,Female,Central
C12519,58,Female,East
C15521,47,Male,South
C14154,50,Female,South
C17253,58,Female,North
C15764,32,Female,North
C14617,31,Male,North
C15192,25,Female,West
C13776,66,Female,North
C14011,68,Other,East
C16640,62,Male,East
C14097,44,Male,North
C12163,51,Male,West
C11995,20,Male,West
C11890,36,Female,South
C15274,29,Male,North
C14672,60,Female,West
C15407,30,Female,West
C13206,59,Male,Central
C13594,28,Other,West
C10852,49,Female,South
C15935,21,Male,West
C11340,29,Female,South
C13962,66,Male,Central
C16493,37,Male,North
C10694,38,Female,South
C14046,60,Male,West
C12707,46,Male,East
C10100,38,Male,East
C13964,60,Female,South
C12257,58,Female,South
C10665,54,Female,West
C15850,66,Female,Central
C13189,43,Female,West
C15793,58,Male,North
C17880,63,Male,North
