order_id,customer_id,product_id,order_date,quantity,discount,total_amount,payment_method,shipping_cost,delivery_time_days,region,profit_margin,returned
O100000,C17270,P234890,2023-12-23,1,0.15,139.47,Credit Card,7.88,4,West,31.17,No
O100001,C17603,P228204,2025-04-03,1,0.0,24.73,Credit Card,4.6,6,South,-2.62,No
O100002,C10860,P213892,2024-10-08,1,0.05,166.8,Credit Card,6.58,4,North,13.44,No
O100003,C15390,P208689,2024-09-14,1,0.0,63.67,UPI,5.5,6,South,2.14,No
O100004,C15226,P228063,2024-12-21,1,0.15,13.88,COD,2.74,6,East,1.15,No
O100005,C15191,P214062,2024-04-14,2,0.1,97.04,Credit Card,6.32,5,South,37.35,No
O100006,C13772,P201363,2025-05-20,1,0.0,266.5,PayPal,9.1,5,East,22.88,No
O100007,C13092,P216691,2023-09-14,1,0.0,9.98,Credit Card,4.51,4,West,-0.02,No
O100008,C15734,P202751,2023-10-23,1,0.05,6.28,Debit Card,3.43,6,West,-1.23,No
O100009,C16265,P207782,2023-10-31,1,0.0,10.91,Credit Card,2.76,6,South,-1.89,No
O100010,C10466,P217648,2024-02-07,1,0.1,5.95,Debit Card,2.16,5,South,0.52,No
O100011,C15334,P212540,2024-07-08,1,0.0,16.22,PayPal,3.72,5,South,3.58,No
O100012,C14426,P245991,2024-10-13,1,0.1,9.5,Credit Card,4.99,4,West,-4.23,No
O100013,C15578,P205339,2023-11-01,1,0.0,7.12,Debit Card,3.35,5,North,-0.5,No
O100014,C16231,P227020,2025-02-24,2,0.0,78.38,Credit Card,7.91,3,North,14.04,No
O100015,C13444,P227609,2024-05-03,4,0.2,40.42,Credit Card,6.19,3,North,5.13,No
O100016,C13171,P205848,2024-08-25,1,0.05,91.78,PayPal,3.6,4,West,23.93,No
O100017,C12919,P216877,2024-09-12,3,0.0,48.0,PayPal,4.48,5,South,12.32,No
O100018,C17831,P218405,2025-06-20,2,0.0,1468.64,Wallet,10.9,4,South,165.34,No
O100019,C10130,P248629,2024-10-10,1,0.0,50.52,Credit Card,6.2,3,North,11.48,Yes
O100020,C11685,P246233,2024-05-10,2,0.0,35.98,PayPal,5.56,4,West,8.83,No
O100021,C17476,P221471,2024-11-14,1,0.0,39.54,COD,5.3,6,North,8.54,No
O100022,C10769,P203302,2024-12-14,1,0.0,128.8,Debit Card,7.77,4,North,7.69,No
O100023,C12391,P214437,2025-05-16,1,0.0,176.45,Debit Card,6.67,7,South,55.09,No
O100024,C15611,P247930,2024-04-16,2,0.15,587.47,Debit Card,9.48,5,Central,166.76,No
O100025,C17581,P214512,2024-08-31,3,0.0,37.47,UPI,5.46,7,East,11.4,No
O100026,C16949,P232436,2025-08-26,1,0.15,133.63,Debit Card,6.75,5,South,33.34,No
O100027,C12433,P223511,2025-08-19,2,0.0,22.48,Debit Card,6.09,4,West,1.78,No
O100028,C15311,P205022,2024-05-27,2,0.0,41.94,PayPal,4.61,6,South,-1.25,No
O100029,C15051,P243239,2023-10-11,2,0.0,108.84,UPI,8.05,6,East,22.43,No
O100030,C16420,P206155,2023-11-12,1,0.15,46.69,Credit Card,5.74,6,South,7.33,No
O100031,C11184,P231480,2024-04-08,1,0.15,8.77,Debit Card,1.24,7,East,-0.54,No
O100032,C14555,P238022,2023-12-30,1,0.0,7.56,Credit Card,2.06,5,North,-1.46,No
O100033,C13385,P225332,2024-08-06,1,0.05,21.21,Credit Card,4.26,4,South,2.1,No
O100034,C14117,P204354,2024-08-08,2,0.0,25.68,Debit Card,6.32,3,North,-4.27,No
O100035,C16396,P231847,2024-04-04,2,0.0,17.78,Credit Card,4.78,4,South,3.22,No
O100036,C14843,P235284,2025-05-27,2,0.0,67.8,Debit Card,4.98,5,South,18.75,No
O100037,C12904,P248640,2024-07-10,1,0.0,17.92,Credit Card,5.86,5,West,0.41,No
O100038,C17728,P210156,2025-02-13,2,0.0,101.5,Credit Card,6.46,7,West,39.22,No
O100039,C10474,P222453,2024-08-17,1,0.15,11.14,Credit Card,4.4,6,West,0.61,No
O100040,C11082,P232689,2023-12-09,1,0.1,267.88,UPI,7.49,4,South,67.52,No
O100041,C12558,P223758,2024-03-31,1,0.0,6.2,COD,2.5,4,West,-2.0,No
O100042,C17849,P208838,2025-02-03,2,0.0,72.1,COD,7.24,4,North,12.95,No
O100043,C12047,P245502,2023-10-31,1,0.15,40.17,UPI,4.94,5,South,9.12,No
O100044,C17643,P243790,2024-09-27,1,0.0,313.25,Debit Card,8.96,8,Central,28.63,No
O100045,C12747,P237976,2025-04-11,3,0.1,36.99,COD,4.09,4,West,-1.13,No
O100046,C10975,P249346,2024-01-11,3,0.0,27.21,Debit Card,6.05,5,South,4.83,No
O100047,C11806,P213725,2025-05-03,2,0.0,24.9,Credit Card,5.18,5,West,6.02,No
O100048,C10189,P209337,2025-03-19,1,0.0,7.33,Credit Card,3.86,5,North,-0.93,No
O100049,C17101,P210701,2025-03-12,1,0.05,51.16,Credit Card,5.96,5,South,14.5,No
O100050,C12734,P229811,2025-07-14,1,0.0,16.12,COD,4.76,8,East,-3.47,No
O100051,C13005,P243043,2024-12-31,4,0.0,783.48,Credit Card,10.37,5,West,209.0,No
O100052,C14658,P238978,2024-09-16,1,0.0,8.29,PayPal,2.98,4,North,0.75,No
O100053,C11899,P229316,2024-01-24,2,0.0,804.26,PayPal,9.93,5,South,86.58,No
O100054,C17734,P211544,2023-12-29,1,0.05,18.94,Debit Card,4.96,6,East,-3.44,No
O100055,C11267,P221514,2023-11-23,2,0.0,13.04,Debit Card,4.73,5,South,-3.69,No
O100056,C16975,P216327,2023-12-18,1,0.1,4.84,COD,3.91,3,Central,-1.97,No
O100057,C11528,P246809,2023-12-06,4,0.0,668.84,Wallet,8.88,3,North,178.4,No
O100058,C13202,P216705,2024-10-30,1,0.15,114.21,Wallet,6.65,3,Central,25.33,No
O100059,C13556,P210479,2024-08-16,3,0.0,368.55,COD,7.27,4,North,95.92,No
O100060,C13890,P211323,2024-12-01,1,0.0,14.91,UPI,4.93,5,West,0.29,No
O100061,C10646,P212937,2023-11-13,1,0.0,10.46,Credit Card,3.14,4,North,1.57,No
O100062,C16164,P223089,2024-06-26,1,0.0,368.67,Debit Card,9.91,6,West,34.33,No
O100063,C12888,P201702,2025-06-24,1,0.1,12.17,Debit Card,2.07,5,West,-1.1,No
O100064,C16310,P210404,2024-01-22,1,0.05,110.7,Credit Card,6.97,4,West,24.03,No
O100065,C15393,P233598,2025-06-23,1,0.0,20.24,COD,4.74,5,North,-3.12,No
O100066,C12435,P208380,2025-09-03,1,0.15,149.39,Debit Card,6.15,5,West,38.67,No
O100067,C10600,P221990,2024-02-14,1,0.0,20.91,UPI,4.04,4,North,3.28,Yes
O100068,C12363,P232859,2023-12-15,4,0.0,53.72,PayPal,6.26,4,South,12.54,No
O100069,C12061,P203877,2023-11-22,1,0.2,3.17,PayPal,3.06,5,East,-2.81,No
O100070,C10241,P242871,2024-05-30,2,0.0,17.0,Debit Card,3.51,8,South,3.29,No
O100071,C12041,P218720,2024-10-18,3,0.0,450.36,Debit Card,8.26,4,West,149.37,No
O100072,C12824,P207676,2024-09-21,1,0.1,88.16,Debit Card,6.72,6,East,3.86,No
O100073,C17513,P231818,2025-02-24,1,0.0,217.48,Credit Card,7.67,6,South,57.57,No
