product_id,category,price,profit_margin
P227222,Fashion,99.01,26.91
P221392,Fashion,30.99,14.8
P223376,Home,20.15,11.44
P213919,Home,190.25,29.67
P239569,Toys,10.31,0.23
P212623,Electronics,672.53,69.74
P237344,Fashion,234.27,65.54
P229910,Toys,3.31,0.28
P207464,Electronics,589.57,61.69
P218895,Home,39.01,5.02
P234229,Fashion,5.15,-2.06
P227791,Grocery,24.72,-2.27
P233310,Fashion,37.92,7.84
P243924,Fashion,49.43,10.25
P214638,Beauty,120.18,136.76
P218983,Electronics,557.56,45.69
P222214,Fashion,19.06,1.5
P211232,Beauty,4.16,1.34
P248886,Fashion,9.0,0.09
P229168,Grocery,22.11,0.43
P225053,Sports,54.82,27.17
P242897,Beauty,54.45,17.03
P225918,Grocery,10.37,-1.47
P212794,Toys,11.34,1.68
P208502,Home,18.35,0.14
P206968,Grocery,13.94,-3.61
P229027,Fashion,26.75,3.88
P212008,Sports,260.27,70.25
P201977,Sports,179.99,40.42
P238232,Sports,268.99,151.74
P227907,Home,11.22,-1.36
P204668,Sports,399.65,104.73
P210464,Beauty,9.49,0.82
P201271,Grocery,11.77,-2.4
P232052,Sports,156.54,41.11
P219048,Electronics,426.53,31.14
P241764,Home,261.36,64.51
P227359,Electronics,267.93,52.51
P200654,Home,47.22,7.84
P242365,Beauty,4.21,-0.75
P213268,Electronics,265.95,23.01
P224250,Sports,44.14,6.15
P212478,Beauty,34.06,10.94
P216523,Fashion,114.01,32.6
P218281,Fashion,87.85,19.53
P217977,Fashion,22.22,0.9
P245423,Home,164.9,70.58
P218169,Fashion,13.97,3.6
P215311,Home,125.47,26.34
P210805,Toys,8.9,0.45
P213158,Grocery,5.95,-0.94
P228807,Grocery,7.06,-1.92
P211755,Electronics,187.2,11.97
P246659,Home,78.16,15.37
P221178,Electronics,346.34,32.26
P248406,Beauty,27.98,8.88
P230125,Grocery,12.92,-2.67
P209439,Electronics,517.36,49.33
P235339,Fashion,120.87,33.8
P214973,Home,124.85,26.78
P245214,Electronics,516.09,47.27
P235497,Beauty,22.25,5.85
P245870,Toys,7.68,-0.67
P249322,Beauty,3.96,0.1
P243133,Home,39.94,3.87
P203325,Fashion,51.7,10.77
P201267,Toys,64.3,18.03
P224195,Beauty,15.57,2.49
P242445,Toys,2.51,-0.76
P221432,Beauty,10.62,0.22
P229337,Sports,100.22,15.19
P214661,Toys,5.0,0.44
P208172,Beauty,13.68,0.32
P214584,Electronics,172.45,93.2
P221291,Home,116.31,43.42
P241358,Fashion,59.86,16.14
P246701,Beauty,6.93,-0.09
P249305,Beauty,10.45,1.03
P218491,Grocery,28.94,-3.78
P243017,Fashion,33.16,5.55
P235304,Fashion,122.94,73.08
P207069,Electronics,294.35,27.07
P242184,Home,34.34,5.05
P207174,Electronics,201.65,16.21
P231513,Fashion,29.38,3.48
P220360,Electronics,416.45,36.05
P225105,Sports,89.67,14.92
P246267,Electronics,658.13,69.5
P221518,Toys,3.71,-0.12
P214228,Grocery,16.5,-4.05
P210109,Beauty,3.29,-0.94
P202281,Fashion,80.25,22.62
P230350,Sports,130.17,30.77
P221316,Home,306.46,76.09
P221101,Electronics,241.81,11.37
P222277,Beauty,22.18,5.66
P230059,Electronics,537.23,54.72
P203163,Electronics,234.25,19.69
P248330,Electronics,247.7,18.8
P208734,Grocery,13.6,-3.76
P235263,Toys,31.06,7.75
P244677,Home,95.68,19.11
P221586,Home,46.79,8.04
P210861,Home,11.33,0.48
P231608,Fashion,160.52,46.89
P244968,Home,198.22,47.12
P239793,Electronics,195.98,12.72
P218440,Fashion,6.95,-0.5
P214840,Electronics,270.57,22.41
P203281,Grocery,3.77,-2.23
P212426,Sports,177.32,44.66
P234378,Grocery,26.57,-1.65
